Nationality,Quantity
Spain,14
Brazil,12
Germany,11
France,9
Belgium,7
Argentina,6
Italy,6
Croatia,3
Uruguay,3
Portugal,2
Algeria,2
Bosnia Herzegovina,2
Slovakia,2
Senegal,2
Chile,2
England,2
Poland,2
Slovenia,2
Denmark,1
Gabon,1
Wales,1
Egypt,1
Costa Rica,1
Netherlands,1
Morocco,1
Serbia,1
Austria,1
Greece,1
Colombia,1
